Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Americas,South America,Argentina,4.38,3.75,4.00,3.00,3.00,3.00,3.50,3.00,2.00,6.50,6.50,3.00,5.00,4.00,6.00,5.00,5.00,6.33,7.00,5.00,6.00,7.00,6.00,6.50,6.00,7.00,6.00,6.00,5.50,8.00
Europe,Northern Europe,Latvia,3.51,3.65,4.50,3.50,3.50,1.00,2.00,2.00,4.50,5.00,5.50,5.00,3.38,3.50,3.50,2.00,4.50,7.42,7.50,6.00,8.50,8.00,7.50,7.50,8.50,5.50,8.00,7.50,7.50,7.00
Europe,Northern Europe,Lithuania,3.31,3.00,3.50,2.50,2.50,1.00,2.00,2.00,4.00,4.50,4.00,4.00,3.63,3.50,4.00,4.00,3.00,7.21,7.50,7.00,7.50,7.00,7.50,7.00,8.00,6.50,7.50,7.00,6.50,7.50
Americas,North America,Canada,3.66,3.45,3.50,4.00,2.50,2.00,3.00,3.00,5.00,3.50,3.00,5.00,3.88,5.00,4.00,2.00,4.50,7.25,7.50,7.00,8.00,8.00,7.00,7.00,6.00,6.50,7.50,8.50,6.00,8.00
Europe,Northern Europe,Finland,2.71,2.80,3.00,2.50,2.50,1.00,1.50,2.00,3.50,4.00,3.50,4.50,2.63,3.00,3.00,1.50,3.00,8.42,9.00,8.50,9.00,8.00,8.00,8.00,9.00,8.50,9.00,8.00,8.00,8.00
Americas,Caribbean ,Grenada,3.05,2.85,2.00,1.00,3.00,1.00,2.50,3.00,1.00,6.50,7.00,1.50,3.25,4.00,2.00,3.00,4.00,4.67,5.00,5.00,5.00,5.00,5.00,6.00,6.00,4.00,5.00,3.00,4.00,3.00
Europe,Northern Europe,Iceland,3.39,2.65,4.00,3.00,1.50,1.00,1.50,1.00,1.50,4.50,4.00,4.50,4.13,4.50,5.00,2.00,5.00,8.04,7.00,7.50,8.50,8.50,8.50,8.50,8.50,8.00,8.50,7.00,7.50,8.50
Africa,Southern Africa,Comoros,3.86,3.85,5.00,5.50,3.50,3.00,5.50,1.00,4.00,2.00,3.00,6.00,3.88,1.00,4.50,6.00,4.00,2.38,2.00,2.00,3.00,2.50,2.00,2.00,3.00,4.00,3.00,1.50,1.50,2.00
Europe,Central & Eastern Europe,Ukraine,6.18,5.60,7.00,6.50,8.00,6.50,4.00,7.00,5.00,3.50,5.00,3.50,6.75,6.00,7.00,8.00,6.00,4.00,3.50,4.00,5.50,4.00,4.50,3.50,2.00,4.00,4.50,3.50,4.00,5.00
Oceania,Melanesia,Solomon Islands,4.15,3.55,4.00,2.00,3.00,8.00,7.50,2.50,1.00,2.50,3.50,1.50,4.75,1.00,4.50,7.00,6.50,5.21,5.00,4.50,5.50,4.50,5.50,6.00,5.00,5.00,5.00,4.50,6.50,5.50
Americas,Central America,Guatemala,6.48,5.95,6.50,7.00,7.00,4.00,4.00,2.50,7.50,8.50,6.50,6.00,7.00,7.50,6.00,7.00,7.50,4.42,3.50,4.00,5.50,5.50,4.00,5.00,3.50,5.00,4.00,4.00,4.00,5.00
Europe,Central & Eastern Europe,Albania,5.63,5.25,5.00,6.50,4.50,4.50,3.50,5.50,6.00,7.00,7.00,3.00,6.00,7.00,7.50,7.00,2.50,5.04,5.50,4.50,6.50,6.00,5.00,5.50,5.50,4.00,4.00,4.50,5.00,4.50
Europe,Central & Eastern Europe,Poland,4.01,4.40,5.50,4.50,3.50,2.00,2.50,5.50,4.00,4.50,5.50,6.50,3.63,2.00,5.50,3.50,3.50,6.13,5.50,4.00,7.00,7.00,5.50,6.50,7.50,7.00,7.50,5.00,6.00,5.00
Oceania,Melanesia,Kiribati,2.35,2.45,4.50,1.50,2.00,1.00,6.50,2.00,1.00,3.00,2.00,1.00,2.25,1.00,4.00,1.50,2.50,4.33,5.50,5.50,5.50,6.00,4.00,5.00,4.00,4.00,3.00,1.00,3.00,5.50
Europe,Central & Eastern Europe,Russia,6.24,6.10,6.50,6.00,4.50,7.50,7.50,5.00,7.00,4.50,5.00,7.50,6.38,4.50,7.50,8.50,5.00,4.04,4.00,3.00,4.50,5.50,4.00,4.50,5.50,4.00,4.00,2.50,3.50,3.50
Asia,South-Eastern Asia,Timor-Leste,3.96,3.55,4.00,5.00,4.00,3.00,5.00,2.00,2.50,2.50,3.50,4.00,4.38,5.00,4.00,4.50,4.00,3.67,3.00,3.00,3.50,4.50,4.00,4.50,3.00,4.00,3.00,3.50,3.50,4.50
Africa,East Africa,Eritrea,4.34,4.05,9.00,9.50,6.50,1.50,2.00,2.00,3.00,1.50,4.00,1.50,4.63,1.00,5.50,9.50,2.50,2.33,1.00,1.00,2.00,2.50,2.00,3.00,7.00,3.00,2.50,1.00,2.00,1.00
Asia,Eastern Asia,"Korea, Rep.",4.91,3.95,6.00,4.50,3.50,4.00,4.50,2.00,3.50,3.50,3.00,5.00,5.88,6.50,6.00,4.50,6.50,7.54,8.00,7.00,8.00,8.00,8.50,8.00,7.00,7.00,6.50,6.50,8.00,8.00
Americas,South America,Chile,4.60,4.45,4.00,4.50,5.50,4.00,4.50,2.00,2.00,7.00,6.50,4.50,4.75,4.00,5.50,4.50,5.00,6.42,7.00,7.00,8.00,6.00,6.00,4.00,4.00,6.50,7.00,7.00,6.50,8.00
Oceania,Melanesia,Fiji,3.90,3.80,5.00,3.50,2.00,3.00,4.50,2.00,2.00,4.50,5.00,6.50,4.00,1.00,6.50,3.00,5.50,5.25,6.00,5.50,5.00,5.50,4.50,5.00,4.50,6.00,6.00,4.00,5.00,6.00
Americas,Caribbean ,Bahamas,3.79,3.95,4.50,5.00,4.50,1.00,4.50,2.00,4.00,7.00,4.00,3.00,3.63,3.50,2.00,3.00,6.00,5.21,6.00,6.00,6.00,6.00,3.50,6.00,5.00,4.50,4.00,6.50,5.00,4.00
Asia,South-Eastern Asia,Brunei,2.76,3.15,4.50,4.00,2.50,3.00,4.00,2.00,2.50,1.50,3.50,4.00,2.38,1.00,2.50,2.00,4.00,4.58,4.00,4.00,4.50,4.50,4.00,5.00,5.50,5.50,6.50,3.50,4.50,3.50
Europe,Central & Eastern Europe,Bulgaria,5.43,5.10,6.00,5.00,3.50,5.50,5.00,5.00,6.00,4.00,5.00,6.00,5.75,4.50,6.50,7.50,4.50,5.29,4.50,5.00,6.50,6.00,5.50,5.50,6.50,6.00,4.50,4.50,5.00,4.00
Africa,Central Africa,"Congo, Dem. Rep.",7.75,6.50,7.00,5.50,9.00,8.50,8.00,9.00,4.00,4.50,7.00,2.50,9.00,9.00,9.00,9.00,9.00,2.29,1.00,1.00,4.00,3.00,2.50,1.50,2.00,2.00,1.50,2.00,2.00,5.00
Oceania,Australia and New Zealand,Australia,4.00,3.75,3.50,3.00,3.50,3.00,3.50,2.00,3.50,5.00,3.50,7.00,4.25,5.00,6.00,2.00,4.00,7.96,8.00,8.50,9.00,8.00,8.00,8.00,9.00,7.00,7.00,7.50,7.50,8.00
Europe,Central & Eastern Europe,Belarus,5.08,4.40,7.00,5.50,6.50,3.00,2.00,5.00,4.00,2.00,4.00,5.00,5.75,4.00,5.00,9.00,5.00,3.79,3.50,2.00,3.00,4.00,3.00,5.00,4.50,4.50,5.00,3.00,5.00,3.00
Oceania,Polynesia,Tonga,3.78,3.30,3.50,1.00,5.00,1.00,3.50,2.00,1.50,4.00,5.00,6.50,4.25,1.00,4.50,5.00,6.50,5.21,5.00,5.50,6.50,6.00,4.00,5.00,5.50,5.00,5.00,5.00,4.00,6.00
Europe,Central & Eastern Europe,Croatia,5.06,4.75,4.50,6.00,3.50,5.00,2.50,4.50,5.00,5.50,5.50,5.50,5.38,4.00,6.50,6.50,4.50,5.58,5.00,5.50,6.50,6.00,5.00,6.00,6.50,6.50,4.50,5.50,5.00,5.00
Europe,Central & Eastern Europe,Romania,4.59,5.05,6.50,5.50,3.50,6.00,5.00,4.00,5.50,5.50,4.50,4.50,4.13,4.00,5.00,3.50,4.00,5.58,5.50,5.50,6.50,6.00,6.00,5.50,6.50,5.50,5.00,5.00,5.00,5.00
Africa,Central Africa,Equatorial Guinea,4.11,3.85,4.50,2.00,5.00,8.50,5.00,6.00,1.50,1.50,3.50,1.00,4.38,1.00,2.50,9.00,5.00,2.17,1.50,1.00,2.00,5.50,2.00,2.00,3.50,2.00,1.50,1.50,1.50,2.00
Europe,Central & Eastern Europe,Serbia,6.21,5.55,5.00,6.50,7.50,4.00,4.00,4.00,7.00,5.50,6.00,6.00,6.88,6.00,7.00,8.00,6.50,4.92,4.50,4.00,6.00,5.00,5.00,5.00,6.00,5.50,5.00,4.00,5.50,3.50
Oceania,Polynesia,Samoa,2.04,2.45,3.50,2.00,3.00,1.50,2.00,2.00,1.00,2.50,4.50,2.50,1.63,1.00,2.00,1.50,2.00,5.67,4.50,5.00,5.00,6.50,6.00,6.50,7.50,6.00,3.00,5.00,6.00,7.00
Americas,Caribbean ,St. Kitts and Nevis,4.10,3.20,3.00,2.50,5.00,1.50,2.00,2.00,1.00,7.00,7.00,1.00,5.00,1.00,6.50,6.50,6.00,5.00,6.00,5.00,6.00,6.50,7.00,4.50,6.00,5.50,2.00,2.50,4.00,5.00
Europe,Central & Eastern Europe,Hungary,4.50,4.75,6.00,6.00,3.50,3.50,4.50,3.50,4.50,5.00,5.50,5.50,4.25,1.00,4.00,7.00,5.00,5.08,4.50,3.50,5.00,5.50,5.00,6.00,7.00,5.50,4.50,4.50,6.00,4.00
Europe,Central & Eastern Europe,Montenegro,6.00,5.00,4.50,5.50,6.00,3.00,4.50,3.50,5.50,7.50,5.50,4.50,7.00,7.50,7.00,7.50,6.00,4.46,3.50,4.00,5.50,5.00,4.50,3.50,5.00,5.00,4.00,4.00,5.00,4.50
Americas,Caribbean ,Trinidad and Tobago,4.94,4.25,6.00,4.00,6.00,1.00,2.00,2.00,3.00,7.50,7.00,4.00,5.63,6.00,5.00,5.00,6.50,5.21,5.00,5.00,6.50,7.00,3.50,5.50,5.00,6.00,4.00,5.00,5.00,5.00
Europe,Central & Eastern Europe,Czech Republic,4.63,4.75,5.00,5.00,4.50,3.00,5.50,3.00,4.50,4.50,6.00,6.50,4.50,3.00,5.00,5.50,4.50,6.25,6.00,5.50,7.00,6.50,6.50,7.00,7.00,6.00,6.00,5.50,6.00,6.00
Americas,Caribbean ,Barbados,3.21,2.55,3.50,2.00,4.00,1.00,1.00,2.00,1.00,5.50,4.50,1.00,3.88,5.00,4.50,4.00,2.00,5.71,5.50,7.00,7.00,6.00,4.50,6.50,6.00,5.00,3.50,5.50,6.00,6.00
Asia,South-Eastern Asia,Laos,5.51,5.65,6.50,6.50,4.50,8.00,8.00,1.50,7.00,2.50,4.00,8.00,5.38,1.50,6.00,6.00,8.00,3.42,3.00,2.50,3.50,4.00,3.00,4.00,2.50,3.50,4.00,4.00,3.50,3.50
Oceania,Micronesia,Palau,2.94,3.00,4.00,3.00,1.50,1.00,6.50,1.50,1.50,3.00,3.00,5.00,2.88,1.00,4.00,2.00,4.50,4.54,6.50,5.50,6.00,5.50,3.00,5.00,4.00,4.50,4.00,2.00,4.00,4.50
Americas,Central America,El Salvador,5.94,5.00,7.00,6.50,7.00,5.00,5.50,1.50,1.50,7.00,7.00,2.00,6.88,9.50,6.50,7.00,4.50,3.71,2.50,3.00,5.50,5.00,2.00,3.00,5.00,4.00,2.00,4.00,4.50,4.00
Oceania,Melanesia,Vanuatu,2.20,2.40,2.50,1.50,1.50,3.00,5.50,1.50,1.50,2.00,3.00,2.00,2.00,1.00,1.00,2.50,3.50,5.33,5.00,6.00,6.00,6.50,7.00,6.50,5.00,4.00,3.50,5.00,3.50,6.00
Asia,South-Eastern Asia,Singapore,3.13,3.25,5.50,2.50,2.00,2.00,5.00,1.50,4.00,3.00,2.00,5.00,3.00,3.00,3.50,1.50,4.00,7.71,7.50,7.50,9.00,8.50,9.00,9.00,8.00,7.00,8.00,7.00,9.00,3.00
Asia,Western Asia,Jordan,4.71,4.55,6.50,5.50,6.50,3.50,3.50,1.50,3.50,3.00,6.00,6.00,4.88,1.50,7.00,6.50,4.50,5.92,7.00,5.00,8.00,6.50,4.50,7.00,6.00,6.50,4.00,4.50,6.50,5.50
Oceania,Australia and New Zealand,New Zealand,3.25,3.25,3.50,3.50,3.00,2.00,3.50,1.50,3.00,3.00,4.00,5.50,3.25,4.50,3.50,1.50,3.50,8.38,8.50,8.50,8.50,8.50,8.00,8.50,8.50,8.00,8.50,8.50,8.00,8.50
Americas,Caribbean ,Antigua and Barbuda,3.34,3.05,4.00,2.00,3.00,1.00,3.50,1.50,3.00,6.00,5.00,1.50,3.63,3.00,3.00,3.00,5.50,4.33,4.50,5.00,5.00,5.00,3.00,4.00,4.00,2.50,5.00,4.00,4.50,5.50
Europe,Central & Eastern Europe,Bosnia and Herzegovina,5.89,5.15,5.50,7.00,6.00,4.50,4.00,3.00,6.00,4.50,5.50,5.50,6.63,4.00,6.50,8.00,8.00,3.92,3.00,4.00,5.00,4.00,3.50,3.50,4.00,4.00,3.50,4.00,4.00,4.50
Europe,Central & Eastern Europe,North Macedonia,5.31,5.00,5.50,6.50,4.50,4.00,3.50,3.00,6.50,5.00,6.00,5.50,5.63,4.00,6.50,6.00,6.00,5.21,5.00,4.50,6.00,5.00,5.00,5.00,6.00,5.50,4.50,5.00,5.00,6.00
Europe,Central & Eastern Europe,Slovakia,4.69,4.25,5.50,3.50,4.50,3.50,3.00,3.00,4.50,4.50,5.00,5.50,5.13,3.00,6.00,6.50,5.00,5.38,5.50,5.00,7.00,6.50,5.00,5.50,6.00,5.00,4.50,4.50,5.00,5.00
Europe,Central & Eastern Europe,Moldova,4.45,3.90,7.50,4.00,5.00,2.50,2.00,3.00,3.00,2.50,4.50,5.00,5.00,4.00,4.00,7.00,5.00,3.71,3.50,3.50,4.50,5.00,3.00,3.50,2.00,3.50,4.00,5.00,3.00,4.00
Oceania,Micronesia,Marshall Islands,2.31,2.50,4.50,2.00,1.50,1.00,6.50,1.00,1.50,2.00,2.50,2.50,2.13,1.00,2.00,2.00,3.50,5.04,5.50,4.50,5.00,6.00,6.50,4.00,5.50,4.00,6.00,3.50,4.00,6.00
Oceania,Micronesia,Micronesia (Federated States of),3.30,2.85,5.00,3.00,1.50,1.00,6.50,1.00,1.00,3.00,3.50,3.00,3.75,1.00,5.50,3.00,5.50,5.33,6.50,5.00,5.50,5.50,5.50,6.00,6.00,4.00,4.00,4.50,5.50,6.00
Africa,Central Africa,Burundi,4.51,4.40,8.50,5.50,8.00,2.00,4.50,4.00,3.00,2.50,3.50,2.50,4.63,1.00,4.50,9.00,4.00,2.08,2.50,1.00,1.50,2.50,2.50,1.50,3.00,2.00,2.00,1.50,2.50,2.50
Africa,Central Africa,Central African Republic,7.04,5.70,7.50,4.50,8.50,6.50,8.00,9.00,1.50,1.50,3.00,7.00,8.38,9.00,8.00,8.50,8.00,1.92,1.50,1.50,3.00,2.50,2.00,1.50,1.50,2.00,1.50,3.00,1.00,2.00
Oceania,Polynesia,Tuvalu,1.54,1.70,1.50,1.00,1.00,1.00,5.00,1.00,1.00,1.50,2.50,1.50,1.38,1.00,1.00,1.50,2.00,6.04,5.50,5.50,5.00,6.50,8.00,7.00,6.50,6.00,6.00,4.50,5.00,7.00
Asia,Southern Asia,Maldives,4.06,3.50,6.00,5.50,2.00,1.00,5.00,1.00,6.00,3.50,3.00,2.00,4.63,5.00,5.00,4.00,4.50,3.88,5.00,5.00,5.00,5.00,3.00,4.00,3.00,3.50,3.00,2.00,3.00,5.00
Africa,East Africa,South Sudan,6.34,5.30,8.50,5.50,8.00,7.50,7.00,8.00,2.00,1.50,4.00,1.00,7.38,4.50,8.00,9.00,8.00,1.83,2.00,1.00,2.00,3.00,2.00,2.00,1.50,1.50,2.50,1.00,1.50,2.00
Africa,East Africa,Somalia,5.79,4.45,8.00,7.50,8.50,6.00,4.50,2.00,2.00,2.00,2.00,2.00,7.13,9.50,7.50,7.00,4.50,1.67,1.00,1.00,2.00,2.00,2.00,1.50,1.50,2.50,1.50,1.00,1.50,2.50
Americas,South America,Uruguay,2.69,2.75,3.00,2.00,2.50,1.00,3.50,1.00,2.00,5.00,4.00,3.50,2.63,1.50,4.50,2.00,2.50,7.75,8.00,9.00,9.00,7.00,7.00,8.00,7.00,7.00,8.00,7.50,7.00,8.50
Africa,North Africa,Libya,6.55,6.10,9.50,8.00,9.50,1.00,3.50,8.50,2.50,4.00,7.50,7.00,7.00,8.00,7.50,8.50,4.00,1.54,1.50,1.50,2.50,2.00,1.50,1.50,1.50,1.00,2.00,1.00,1.00,1.50
Americas,Caribbean ,Jamaica,5.91,4.20,5.00,3.00,8.50,1.50,2.00,1.00,3.00,6.00,9.00,3.00,7.63,8.00,7.50,8.00,7.00,5.46,5.00,5.50,6.50,5.50,4.00,6.00,6.50,4.50,4.50,5.00,6.00,6.50
Americas,Caribbean ,St. Vincent and the Grenadines,3.30,2.85,2.50,1.00,4.00,1.00,2.00,1.00,1.00,7.50,7.50,1.00,3.75,2.00,5.00,2.00,6.00,5.46,6.00,6.00,6.00,6.50,6.00,4.50,6.00,5.50,4.00,3.00,6.00,6.00
Europe,Central & Eastern Europe,Slovenia,4.29,3.95,4.00,5.50,3.50,2.00,3.00,2.50,4.00,4.50,5.00,5.50,4.63,3.00,4.50,6.00,5.00,6.08,6.00,5.00,6.50,6.50,6.00,6.00,7.50,6.50,5.00,6.00,6.00,6.00
Americas,Caribbean ,St. Lucia,4.09,3.05,4.00,1.50,5.00,2.00,1.00,1.00,1.00,7.00,7.00,1.00,5.13,5.00,4.00,5.50,6.00,5.63,7.50,6.50,6.50,6.50,6.00,4.50,5.50,4.00,5.50,5.00,6.00,4.00
Americas,Caribbean ,Dominica,2.63,2.75,2.50,2.50,5.00,1.00,1.00,1.00,1.00,6.00,5.00,2.50,2.50,1.00,5.00,1.50,2.50,5.08,3.50,4.00,6.00,5.00,5.00,5.50,6.00,5.00,5.00,5.00,6.00,5.00